Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
4.0,24,0.48,,,,,,,,
4.0,25,0.48,30.479030670763734,-3.966842493916915,-3.850847258123033,0.05440552350670045,0.025594476493299465,5.667242031947962,63.98619123324931,-0.8372731460236683
4.0,26,0.48,29.18117517264496,-3.899763261049915,-3.7808794156132755,0.0568668546475865,0.023133145352413467,5.923630692456927,28.91643169051696,-0.6599529227392104
4.0,27,0.48,26.824698397882898,-3.814343564186223,-3.689187697924851,0.06197264048702418,0.018027359512975703,6.455483384065024,15.022799594146491,-0.39888273279444714
4.0,28,0.48,25.175058155004137,-3.7026844047839464,-3.5727575710258055,0.06583115253055898,0.01416884746944098,6.857411721933228,8.855529668400639,-0.12716383882756627
4.0,29,0.48,24.14054104679083,-3.5650226928085433,-3.431523208175785,0.06854058686370008,0.01145941313629982,7.139644464968761,5.729706568149951,0.1095578085631821
4.0,30,0.48,23.415271294922732,-3.4037450004908525,-3.2676699499526753,0.07048997516082736,0.00951002483917247,7.342705745919522,3.9625103496552354,0.2989943197624864
4.0,31,0.48,22.8901536687603,-3.221560881799176,-3.083587788013643,0.07192816364620579,0.008071836353794088,7.492517046479774,2.8827986977836244,0.4442966809222074
4.0,32,0.48,22.51428469289823,-3.021322522602106,-2.8819721158780616,0.07297309106172281,0.007026908938277144,7.601363652262791,2.1959090432116186,0.551730545537237
4.0,33,0.48,22.25658347571811,-2.8060945635536485,-2.6657470185637204,0.07371168253628681,0.006288317463713104,7.678300264196544,1.7467548510314348,0.6293380081758422
4.0,34,0.48,22.080120995776646,-2.5791329531838882,-2.4380349483436357,0.07424158638416978,0.00575841361583016,7.733498581684354,1.439603403957543,0.6861250629915885
4.0,35,0.48,21.980962947016714,-2.343881474610352,-2.2023602195256267,0.07454060676122491,0.005459393238774996,7.764646537627597,1.2407711906306946,0.7244389481817701
4.0,36,0.48,21.936857660421364,-2.1039323507586998,-1.962222430014242,0.07467394094920628,0.005326059050793668,7.7785355155423215,1.1095956355820213,0.7503196978722219
4.0,37,0.48,21.948200097131696,-1.8629407148200132,-1.7212793127106243,0.0746396517583803,0.00536034824161959,7.774963724831283,1.0308362003114753,0.7658733541360212
4.0,38,0.48,22.01895753556128,-1.6246013240909232,-1.48324238005372,0.07442592160122152,0.0055740783987783945,7.752700166793911,0.9953711426390058,0.7724364360025937
4.0,39,0.48,22.149696228741856,-1.3925473372032122,-1.2517456024940026,0.07403235020923077,0.005967649790769134,7.711703146794875,0.9946082984615284,0.7715201656372087
4.0,40,0.48,22.351154092383958,-1.17031420647804,-1.0303508845264755,0.07343422655565342,0.006565773444346479,7.649398599547232,1.0259021006791478,0.7634889818511127
4.0,41,0.48,22.660444625609127,-0.9611967245325707,-0.8223837573949087,0.07256520611136115,0.00743479388863877,7.558875636600124,1.0933520424468819,0.7472669275463847
4.0,42,0.48,23.085717918666504,-0.7682148361088807,-0.6309520454364731,0.07138973773623183,0.008610262263768084,7.436431014190822,1.1958697588566811,0.7229313967857732
4.0,43,0.48,23.666526677205713,-0.5940320362920988,-0.45885500548672686,0.06981007608009726,0.010189923919902638,7.271882925010137,1.3407794631450884,0.6886492462565283
4.0,44,0.48,24.46567786387315,-0.4412750798854481,-0.30891422853745104,0.06767914810002572,0.012320851899974207,7.049911260419349,1.5401064874967787,0.6414194865032969
4.0,45,0.48,25.78774390280148,-0.31354238437486504,-0.1854164760784146,0.06437344770145124,0.015626552298548646,6.705567468901174,1.860303845065324,0.5656474918010658
4.0,46,0.48,28.368836434742118,-0.21569855730431847,-0.09482463507158605,0.05852685875388418,0.021473141246115702,6.0965477868629385,2.440129687058612,0.42831864164649686
4.0,47,0.48,33.003314872590764,-0.14689853478167322,-0.036275372873922455,0.0499263552394364,0.030073644760563536,5.200662004107964,3.268874430496039,0.22808657693698756
4.0,48,0.48,40.26348420038537,-0.09923039401852446,-4.251438368553612e-16,0.04000000000000012,0.039999999999999786,4.166666666666686,4.166666666666648,4.476419235288631e-15
4.0,49,0.48,51.928470105643044,-0.0653757502830794,0.022623748333009997,0.028583310452024304,0.0514166895479756,2.9774281720858675,5.141668954797567,-0.26656175543775723
4.0,50,0.48,75.22500469703417,-0.03914630708804548,0.03885314548044629,0.014047485328956706,0.06595251467104321,1.4632797217663274,6.341587949138775,-0.6250340727182024
