Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
4.4,27,0.42,10.023844642717606,-3.3940328510751474,-3.0022497357577,0.05891511684389507,0.029084883156104847,7.01370438617799,12.118701315043706,-0.26682462250629246
4.4,28,0.42,9.705671886711599,-3.2147639348301005,-2.817428114737249,0.06131395146676098,0.026686048533238936,7.299279936519173,9.530731619013915,-0.13258765005191714
4.4,29,0.42,9.483522389536192,-3.0166268148994417,-2.6152043812143613,0.06307206038065262,0.024927939619347236,7.508578616744366,7.789981131046038,-0.018394052704360994
4.4,30,0.42,9.32983605147596,-2.8029099117924834,-2.398502316687987,0.06434048845616665,0.023659511543833337,7.659581959067456,6.5720865399537125,0.07641376829347449
4.4,31,0.42,9.226097258473072,-2.5771033882936107,-2.170645857681383,0.06521319197845364,0.02278680802154629,7.763475235530198,5.696702005386583,0.15354725225021224
4.4,32,0.42,9.163254878154513,-2.342806158630205,-1.9350919158754365,0.06574894266404958,0.022251057335950335,7.827255079053528,5.057058485443263,0.21500536910585952
4.4,33,0.42,9.136491636483907,-2.1037032409174086,-1.6954507544378323,0.06597855355863515,0.02202144644136472,7.854589709361334,4.587801341950994,0.26255310204751875
4.4,34,0.42,9.143930803950951,-1.863539707695497,-1.4554368325842373,0.06591473042696437,0.022085269573035474,7.846991717495765,4.247167225583762,0.297649841452752
4.4,35,0.42,9.186090336933022,-1.626080322814513,-1.2188253309435466,0.06555302954623905,0.022446970453760873,7.803932088837988,4.008387581028734,0.3213208424668445
4.4,36,0.42,9.266345243431244,-1.395061089515899,-0.9894020020754115,0.06487312729827709,0.023126872701722846,7.7229913450329875,3.854478783620483,0.33414144181967637
4.4,37,0.42,9.391091149869611,-1.1741591139324947,-0.7709501880979461,0.06383075170116474,0.024169248298835235,7.598899012043421,3.7764450466930097,0.3360297451763413
4.4,38,0.42,9.576319889197038,-0.9670810811965019,-0.5674038097173858,0.062326108193970046,0.0256738918060299,7.419774784996435,3.7755723244161685,0.3255104486681227
4.4,39,0.42,9.863029351277062,-0.7779496908144282,-0.3833892062442163,0.060113765866967074,0.02788623413303282,7.1564006984484685,3.873088074032345,0.2976849328328046
4.4,40,0.42,10.34344361233334,-0.6116628129157322,-0.22506072105606506,0.05664941991785087,0.031350580082149,6.7439785616489205,4.125076326598562,0.24095031830984043
4.4,41,0.42,11.179201530004965,-0.4720593737420128,-0.09750941478415534,0.051300910916149016,0.03669908908385086,6.107251299541558,4.5873861354813625,0.14211469751026098
4.4,42,0.42,12.559072182316552,-0.35864039504333306,-9.43689570931383e-16,0.044000000000000046,0.043999999999999845,5.238095238095248,5.238095238095229,1.780394014035251e-15
4.4,43,0.42,14.717482966430401,-0.26755701766792556,0.07364000876789936,0.035386582935283135,0.05261341706471675,4.2126884446765684,5.978797393717821,-0.17329258726806937
4.4,44,0.42,18.098513764552123,-0.19430583517590053,0.13124513367881288,0.02632730928180734,0.06167269071819259,3.1342034859294463,6.703553338933985,-0.36282151678963553
4.4,45,0.42,23.55933261508352,-0.13555941347513653,0.17974091591784733,0.017900451742993588,0.07009954825700632,2.1310061598801977,7.302036276771496,-0.5481826411380782
4.4,46,0.42,32.53677907133718,-0.0896186868855936,0.22159940722773733,0.01066694669281056,0.07733305330718933,1.2698746062869792,7.733305330718939,-0.717905314528394
4.4,47,0.42,49.93098518429754,-0.053939226800560035,0.25624087451656546,0.004072330366197793,0.08392766963380208,0.48480123407117137,8.069968234019441,-0.8866594276141548
4.4,48,0.42,97.43903980131833,-0.026222604540370353,0.28382881125808834,0.00026135074311254804,0.08773864925688739,0.031113183703876342,8.123949005267358,-0.9923696023444301
4.4,49,0.42,,,,,,,,
4.4,50,0.42,,,,,,,,
4.4,51,0.42,,,,,,,,
4.4,52,0.42,,,,,,,,
4.4,53,0.42,,,,,,,,
4.4,54,0.42,,,,,,,,
4.4,55,0.42,,,,,,,,
4.4,56,0.42,,,,,,,,
4.4,57,0.42,,,,,,,,
4.4,58,0.42,,,,,,,,
4.4,59,0.42,,,,,,,,
4.4,60,0.42,,,,,,,,
4.4,61,0.42,,,,,,,,
4.4,62,0.42,,,,,,,,
4.4,63,0.42,,,,,,,,
4.4,64,0.42,,,,,,,,
