Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
4.0,16,0.32,,,,,,,,
4.0,17,0.32,5.657636664964839,-4.12108983360387,-2.929775964752413,0.042380938767938664,0.03761906123206124,6.622021682490419,94.04765308015318,-0.8684405865400152
4.0,18,0.32,8.442779302610374,-3.9092551907995685,-2.73354594427773,0.02713459238654517,0.05286540761345471,4.239780060397692,66.08175951681851,-0.8794173140722489
4.0,19,0.32,8.437530976000996,-3.7958708543540682,-2.6201509689400146,0.027152777908618697,0.05284722209138118,4.242621548221681,44.03935174281769,-0.8242564974448106
4.0,20,0.32,7.779462598236285,-3.675004571879115,-2.4976748754987397,0.029639937427299673,0.05036006257270029,4.631240223015575,31.475039107937697,-0.7434662164680428
4.0,21,0.32,7.145427901565943,-3.5363304042783583,-2.356731319231111,0.032509020681174346,0.04749097931882557,5.079534481433496,23.745489659412815,-0.647560782144458
4.0,22,0.32,6.643451601849256,-3.3781112507843383,-2.1958951019248496,0.03523355326788415,0.04476644673211574,5.505242698106903,18.652686138381597,-0.5442289166949029
4.0,23,0.32,6.2705485461440045,-3.2006075494353805,-2.0157320091031616,0.03760346923257589,0.04239653076742401,5.875542067589996,15.141618131222861,-0.4408814500141773
4.0,24,0.32,6.002772007471065,-3.005269129245348,-1.817967848517729,0.03953303920631644,0.04046696079368349,6.177037375986946,12.645925248026101,-0.3436700163122351
4.0,25,0.32,5.817068661804316,-2.794526540053265,-1.6052078545070803,0.041010156094388975,0.03898984390561099,6.407836889748281,10.830512196003056,-0.25656025900475676
4.0,26,0.32,5.693791866539364,-2.5715053186731613,-1.3806759542593,0.042057880584392075,0.03794211941560783,6.571543841311267,9.48552985390198,-0.18147677888900748
4.0,27,0.32,5.620916437164826,-2.339761972955199,-1.1479560279281484,0.04270904563986515,0.037290954360134826,6.6732883812289305,8.475216900030647,-0.11895091201050091
4.0,28,0.32,5.590348591511815,-2.1030869164305805,-0.910860393809313,0.04298632800534662,0.037013671994653365,6.7166137508354105,7.711181665552783,-0.06893415702219251
4.0,29,0.32,5.59998316133291,-1.8654063877429217,-0.6733199033976691,0.042896098331776496,0.03710390166822351,6.702515364340077,7.135365705427602,-0.03128010270540587
4.0,30,0.32,5.65347738268826,-1.6307787289487334,-0.4394091228690924,0.042418103273144346,0.03758189672685559,6.6278286364288075,6.711052986938509,-0.006239230008901766
4.0,31,0.32,5.760060863238079,-1.4034623314941912,-0.21345711958615052,0.04149002874009923,0.03850997125990071,6.48281699064051,6.4183285433167905,0.004998660557233329
4.0,32,0.32,5.942812169144117,-1.1879279953331614,0.0,0.03999999999999998,0.03999999999999998,6.25,6.25,0.0
4.0,33,0.32,6.241390203458216,-0.9885002152831909,0.1966175103928731,0.03780419069864698,0.0421958093013529,5.906904796663603,6.2052660737283745,-0.02463317932494757
4.0,34,0.32,6.714519382060703,-0.8083676488228378,0.37341664064173036,0.034816932849996124,0.04518306715000382,5.440145757811903,6.2754259930560865,-0.07129658312939771
4.0,35,0.32,7.442388332759779,-0.648767708985327,0.5296563207951234,0.031097457958741314,0.0489025420412586,4.858977806053339,6.4345450054287685,-0.13951069349003772
4.0,36,0.32,8.535869301413815,-0.5093689352904688,0.666155187782949,0.026814938270317105,0.05318506172968285,4.189834104737054,6.648132716210358,-0.2268228582063891
4.0,37,0.32,10.168133177153873,-0.3893799715169482,0.7839084208041562,0.02212829757982742,0.05787170242017249,3.45754649684804,6.889488383353875,-0.33168361044887706
4.0,38,0.32,12.627461249274074,-0.28818010108939646,0.8835245384049478,0.017110665299059306,0.06288933470094057,2.673541452978025,7.146515306925072,-0.45549368637164434
4.0,39,0.32,16.411371768650735,-0.20531048816684064,0.9654319222599552,0.011800933193744851,0.06819906680625502,1.8438958115226414,7.412942044158163,-0.6016143222404905
4.0,40,0.32,22.351154092383908,-0.13996332195156463,1.0303508845264737,0.006565773444346512,0.07343422655565342,1.0259021006791498,7.649398599547233,-0.7634889818511122
4.0,41,0.32,32.35409613691811,-0.08994049443252174,1.0802545648867836,0.002341686819187117,0.0776583131808128,0.36588856549799176,7.765831318081286,-0.9100095500739406
4.0,42,0.32,54.72929415844817,-0.0498702084342937,1.1203056522539736,0.00021365269737692148,0.07978634730262289,0.033383233965156925,7.671764163713749,-0.9913348227510317
4.0,43,0.32,,,,,,,,
4.0,44,0.32,,,,,,,,
4.0,45,0.32,,,,,,,,
4.0,46,0.32,,,,,,,,
4.0,47,0.32,,,,,,,,
4.0,48,0.32,,,,,,,,
4.0,49,0.32,,,,,,,,
4.0,50,0.32,,,,,,,,
4.0,51,0.32,,,,,,,,
4.0,52,0.32,,,,,,,,
4.0,53,0.32,,,,,,,,
4.0,54,0.32,,,,,,,,
4.0,55,0.32,,,,,,,,
4.0,56,0.32,,,,,,,,
4.0,57,0.32,,,,,,,,
4.0,58,0.32,,,,,,,,
4.0,59,0.32,,,,,,,,
4.0,60,0.32,,,,,,,,
4.0,61,0.32,,,,,,,,
4.0,62,0.32,,,,,,,,
4.0,63,0.32,,,,,,,,
4.0,64,0.32,48.894023584668986,0.049718559064930855,1.2198964076779741,0.00040071447238906,0.07959928552761089,0.06261163631079276,4.145796121229736,-0.970244501047406
4.0,65,0.32,5.938161793442997,0.5492105292167206,1.7371873018193815,0.04003628689156944,0.03996371310843047,6.255669826807728,2.038964954511761,0.5083653450050014
4.2,16,0.32,,,,,,,,
4.2,17,0.32,5.26867809754959,-4.1404593809647965,-2.943048613721452,0.046186882405759425,0.03781311759424046,7.216700375899916,94.53279398560124,-0.8581476906359843
4.2,18,0.32,7.827761235881039,-3.9133649133769994,-2.736174324803049,0.029442547465873627,0.054557452534126354,4.600398041542756,68.196815667658,-0.8736106010892195
4.2,19,0.32,7.950908137445934,-3.795740381136741,-2.6188876798833918,0.02895065858704802,0.05504934141295193,4.5235404042262575,45.87445117745997,-0.8204872748988657
4.2,20,0.32,7.385223836413167,-3.6733846783603896,-2.4947529096129633,0.03135838518821824,0.05264161481178165,4.899747685659113,32.90100925736355,-0.7407592819876841
4.2,21,0.32,6.810235885020576,-3.5340854258856074,-2.3528461976967634,0.034273735198150225,0.049726264801849746,5.3552711247109785,24.863132400924886,-0.645562273323419
4.2,22,0.32,6.346257912047064,-3.3757437730869224,-2.1914689275028416,0.03709471760094369,0.046905282399056156,5.7960496251474645,19.543867666273428,-0.5425360265789202
4.2,23,0.32,5.997008354450306,-3.1984474182166864,-2.011087880596712,0.03957710704982178,0.044422892950178185,6.183922976534655,15.865318910777939,-0.439080671513431
4.2,24,0.32,5.745288673131877,-3.0034966132929686,-1.8133091597285944,0.04161605053497869,0.04238394946502121,6.502507896090425,13.24498420781915,-0.34143456172816306
4.2,25,0.32,5.569180333548219,-2.7932028036936427,-1.6006686008742423,0.04318457297544605,0.0408154270245539,6.747589527413447,11.33761861793165,-0.2538001804363871
4.2,26,0.32,5.452410024917997,-2.5706213230766233,-1.3763310239293558,0.04430007695477089,0.039699923045229034,6.921887024182955,9.924980761307273,-0.17825828369774496
4.2,27,0.32,5.382790371317296,-2.3392886268926776,-1.1438771503782719,0.0449926570309309,0.03900734296906907,7.030102661082955,8.865305220242973,-0.11545488941595713
4.2,28,0.32,5.354307805265369,-2.103013003675487,-0.9071139587675503,0.0452865952295396,0.03871340477046033,7.076030504615565,8.065292660512577,-0.06533525142474829
4.2,29,0.32,5.364150693901369,-1.8657679416729631,-0.6700373886555113,0.04518501726955183,0.03881498273044809,7.060158948367475,7.464419755855416,-0.027832876651383086
4.2,30,0.32,5.4157027433124005,-1.631691867178029,-0.43682264199474363,0.04466076056139932,0.039339239438600605,6.978243837718645,7.024864185464405,-0.003329285732037279
4.2,31,0.32,5.5204546710511355,-1.4051643393547764,-0.21192191002391705,0.043640898551287985,0.04035910144871193,6.818890398638752,6.726516908118665,0.006819543216984293
4.2,32,0.32,5.700282374865022,-1.1907426875738631,0.0,0.041999999999999975,0.041999999999999975,6.562500000000001,6.562500000000001,0.0
4.2,33,0.32,5.9944006219713755,-0.9926947914876576,0.19469209834600476,0.03959745519194765,0.04440254480805228,6.187102373741823,6.529786001184169,-0.02694712867952971
4.2,34,0.32,6.456990909668248,-0.8139031486881281,0.3695510531645248,0.03637653230407063,0.04762346769592925,5.683833172511042,6.614370513323519,-0.0756644925213182
4.2,35,0.32,7.160406029294865,-0.6552769951364953,0.5242571210555853,0.03243456262828848,0.0515654373717114,5.067900410670079,6.784925969962038,-0.14486212015200287
4.2,36,0.32,8.208980327242948,-0.516333617189573,0.6598805368748376,0.027968964086832544,0.05603103591316737,4.37015063856759,7.003879489145929,-0.23155634555258459
4.2,37,0.32,9.76592455085753,-0.39626726394384143,0.7774382063676324,0.023148392446476502,0.06085160755352336,3.6169363197619657,7.244238994467073,-0.3339696275736421
4.2,38,0.32,12.10266704184269,-0.29451201347720374,0.8774322358271713,0.01804195450841748,0.06595804549158243,2.8190553919402443,7.495232442225278,-0.45336887291388644
4.2,39,0.32,15.679230080922595,-0.21069632629922008,0.9601615393743189,0.012673304736224791,0.07132669526377514,1.9802038650351281,7.752901659105996,-0.5930992713222707
