Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
22,,0.1,,0.0,1764989772.0,,,,0.0,0.44,,,-2,1.41421356237,
23,,0.1,,0.0,1764989772.0,,,,0.020000000000000018,0.44,,,-2,1.41421356237,
24,,0.1,,0.0,1764989772.0,,,,0.03999999999999998,0.44,,,-2,1.41421356237,
25,,0.1,,0.0,1764989772.0,,,,0.06,0.44,,,-2,1.41421356237,
26,,0.1,,0.0,1764989772.0,,,,0.08000000000000002,0.44,,,-2,1.41421356237,
27,,0.1,,0.0,1764989772.0,,,,0.10000000000000003,0.44,,,-2,1.41421356237,
28,,0.1,,0.0,1764989772.0,,,,0.12000000000000005,0.44,,,-2,1.41421356237,
29,,0.1,,0.0,1764989772.0,,,,0.13999999999999996,0.44,,,-2,1.41421356237,
30,,0.1,,0.0,1764989772.0,,,,0.15999999999999998,0.44,,,-2,1.41421356237,
31,,0.1,,0.0,1764989772.0,,,,0.18,0.44,,,-2,1.41421356237,
32,,0.1,,0.0,1764989772.0,,,,0.2,0.44,,,-2,1.41421356237,
33,,0.1,,0.0,1764989772.0,,,,0.22000000000000003,0.44,,,-2,1.41421356237,
34,,0.1,,0.0,1764989772.0,,,,0.24000000000000005,0.44,,,-2,1.41421356237,
35,,0.1,,0.0,1764989772.0,,,,0.25999999999999995,0.44,,,-2,1.41421356237,
36,,0.1,,0.0,1764989772.0,,,,0.27999999999999997,0.44,,,-2,1.41421356237,
37,,0.1,,0.0,1764989772.0,,,,0.3,0.44,,,-2,1.41421356237,
38,,0.1,,0.0,1764989772.0,,,,0.32,0.44,,,-2,1.41421356237,
39,,0.1,,0.0,1764989772.0,,,,0.34,0.44,,,-2,1.41421356237,
40,,0.1,,0.0,1764989772.0,,,,0.36000000000000004,0.44,,,-2,1.41421356237,
41,,0.1,,0.0,1764989772.0,,,,0.37999999999999995,0.44,,,-2,1.41421356237,
42,,0.1,,0.0,1764989772.0,,,,0.39999999999999997,0.44,,,-2,1.41421356237,
43,,0.1,,0.0,1764989772.0,,,,0.42,0.44,,,-2,1.41421356237,
44,,0.1,,0.0,1764989772.0,,,,0.44,0.44,,,-2,1.41421356237,
45,,0.1,,0.0,1764989772.0,,,,0.46,0.44,,,-2,1.41421356237,
46,,0.1,,0.0,1764989772.0,,,,0.48000000000000004,0.44,,,-2,1.41421356237,
47,,0.1,,0.0,1764989772.0,,,,0.49999999999999994,0.44,,,-2,1.41421356237,
48,,0.1,,0.0,1764989772.0,,,,0.52,0.44,,,-2,1.41421356237,
49,,0.1,,0.0,1764989772.0,,,,0.54,0.44,,,-2,1.41421356237,
50,,0.1,,0.0,1764989772.0,,,,0.56,0.44,,,-2,1.41421356237,
51,,0.1,,0.0,1764989772.0,,,,0.5800000000000001,0.44,,,-2,1.41421356237,
52,,0.1,,0.0,1764989772.0,,,,0.6000000000000001,0.44,,,-2,1.41421356237,
53,,0.1,,0.0,1764989772.0,,,,0.6200000000000001,0.44,,,-2,1.41421356237,
54,,0.1,,0.0,1764989772.0,,,,0.6400000000000001,0.44,,,-2,1.41421356237,
55,,0.1,,0.0,1764989772.0,,,,0.6600000000000001,0.44,,,-2,1.41421356237,
56,,0.1,,0.0,1764989772.0,,,,0.6800000000000002,0.44,,,-2,1.41421356237,
57,,0.1,,0.0,1764989772.0,,,,0.7,0.44,,,-2,1.41421356237,
58,,0.1,,0.0,1764989772.0,,,,0.72,0.44,,,-2,1.41421356237,
59,,0.1,,0.0,1764989772.0,,,,0.74,0.44,,,-2,1.41421356237,
60,,0.1,,0.0,1764989772.0,,,,0.76,0.44,,,-2,1.41421356237,
61,,0.1,,0.0,1764989772.0,,,,0.78,0.44,,,-2,1.41421356237,
62,,0.1,,0.0,1764989772.0,,,,0.8,0.44,,,-2,1.41421356237,
63,,0.1,,0.0,1764989772.0,,,,0.8200000000000001,0.44,,,-2,1.41421356237,
64,,0.1,,0.0,1764989772.0,,,,0.8400000000000001,0.44,,,-2,1.41421356237,
65,,0.1,,0.0,1764989772.0,,,,0.8600000000000001,0.44,,,-2,1.41421356237,
66,,0.1,,0.0,1764989772.0,,,,0.8800000000000001,0.44,,,-2,1.41421356237,
67,,0.1,,0.0,1764989772.0,,,,0.9000000000000001,0.44,,,-2,1.41421356237,
68,,0.1,,0.0,1764989772.0,,,,0.9200000000000002,0.44,,,-2,1.41421356237,
69,,0.1,,0.0,1764989772.0,,,,0.94,0.44,,,-2,1.41421356237,
70,,0.1,,0.0,1764989772.0,,,,0.96,0.44,,,-2,1.41421356237,
71,,0.1,,0.0,1764989772.0,,,,0.98,0.44,,,-2,1.41421356237,
72,,0.1,,0.0,1764989772.0,,,,1.0,0.44,,,-2,1.41421356237,
22,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.0,0.44,,0.6738641262751495,-2,1.41421356237,
23,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.020000000000000018,0.44,,0.6738641262751495,-2,1.41421356237,
24,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.03999999999999998,0.44,,0.6738641262751495,-2,1.41421356237,
25,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.06,0.44,,0.6738641262751495,-2,1.41421356237,
26,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.08000000000000002,0.44,,0.6738641262751495,-2,1.41421356237,
27,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.10000000000000003,0.44,,0.6738641262751495,-2,1.41421356237,
28,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.12000000000000005,0.44,,0.6738641262751495,-2,1.41421356237,
29,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.13999999999999996,0.44,,0.6738641262751495,-2,1.41421356237,
30,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.15999999999999998,0.44,,0.6738641262751495,-2,1.41421356237,
31,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.18,0.44,,0.6738641262751495,-2,1.41421356237,
32,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.2,0.44,,0.6738641262751495,-2,1.41421356237,
33,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.22000000000000003,0.44,,0.6738641262751495,-2,1.41421356237,
34,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.24000000000000005,0.44,,0.6738641262751495,-2,1.41421356237,
35,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.25999999999999995,0.44,,0.6738641262751495,-2,1.41421356237,
36,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.27999999999999997,0.44,,0.6738641262751495,-2,1.41421356237,
37,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.3,0.44,,0.6738641262751495,-2,1.41421356237,
38,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.32,0.44,,0.6738641262751495,-2,1.41421356237,
39,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.34,0.44,,0.6738641262751495,-2,1.41421356237,
40,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.36000000000000004,0.44,,0.6738641262751495,-2,1.41421356237,
41,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.37999999999999995,0.44,,0.6738641262751495,-2,1.41421356237,
42,33.09456638641061,0.1,-1.6617219665996599,0.1,1764989772.0,-4.955623421014474,-4.955623421014474,-3.293901454414814,0.39999999999999997,0.44,0.649918529181275,0.6738641262751495,-2,1.41421356237,0.018088767816359017
43,33.43138564375096,0.1,-0.8254970589246087,0.1,1764989772.0,-4.119398513339423,-4.119398513339423,-3.293901454414814,0.42,0.44,0.663391299474889,0.6738641262751495,-2,1.41421356237,0.00783158295610319
44,33.69320631375747,0.1,0.0,0.1,1764989772.0,-3.293901454414814,-3.293901454414814,-3.293901454414814,0.44,0.44,0.6738641262751495,0.6738641262751495,-2,1.41421356237,0.0
45,33.88360270819819,0.1,0.8182593304485022,0.1,1764989772.0,-2.475642123966312,-2.475642123966312,-3.293901454414814,0.46,0.44,0.6814799820527782,0.6738641262751495,-2,1.41421356237,-0.005619130766004717
46,34.001997406755144,0.1,1.6316127020081082,0.1,1764989772.0,-1.662288752406706,-1.662288752406706,-3.293901454414814,0.48000000000000004,0.44,0.6862157699950565,0.6738641262751495,-2,1.41421356237,-0.0090815574539256
47,34.05529443032027,0.1,2.442149591108248,0.1,1764989772.0,-0.8517518633065663,-0.8517518633065663,-3.293901454414814,0.49999999999999994,0.44,0.6883476509376611,0.6738641262751495,-2,1.41421356237,-0.010632359009658601
48,34.01795574660271,0.1,3.252282014070411,0.1,1764989772.0,-0.04161944034440314,-0.04161944034440314,-3.293901454414814,0.52,0.44,0.6868541035889589,0.6738641262751495,-2,1.41421356237,-0.00954641234953304
49,33.90337703976592,0.1,4.064963281058909,0.1,1764989772.0,0.7710618266440947,0.7710618266440947,-3.293901454414814,0.54,0.44,0.6822709553154873,0.6738641262751495,-2,1.41421356237,-0.006199108890006236
50,33.699024134439014,0.1,4.884187828784237,0.1,1764989772.0,1.590286374369422,1.590286374369422,-3.293901454414814,0.56,0.44,0.6740968391024112,0.6738641262751495,-2,1.41421356237,-0.0001726406277622443
51,33.43397482614124,0.1,5.710473505675073,0.1,1764989772.0,2.4165720512602586,2.4165720512602586,-3.293901454414814,0.5800000000000001,0.44,0.6634948667705001,0.6738641262751495,-2,1.41421356237,0.007753534808955707
52,33.09905419252408,0.1,6.546971894633152,0.1,1764989772.0,3.2530704402183375,3.2530704402183375,-3.293901454414814,0.6000000000000001,0.44,0.6500980414258137,0.6738641262751495,-2,1.41421356237,0.01795072807148645
53,32.69555393532051,0.1,7.396586400898951,0.1,1764989772.0,4.102684946484136,4.102684946484136,-3.293901454414814,0.6200000000000001,0.44,0.6339580311376709,0.6738641262751495,-2,1.41421356237,0.030513395809428856
54,32.22274724580553,0.1,8.263535256256265,0.1,1764989772.0,4.969633801841451,4.969633801841451,-3.293901454414814,0.6400000000000001,0.44,0.6150457635570716,0.6738641262751495,-2,1.41421356237,0.04563419303558473
55,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.6600000000000001,0.44,,0.6738641262751495,-2,1.41421356237,
56,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.6800000000000002,0.44,,0.6738641262751495,-2,1.41421356237,
57,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.7,0.44,,0.6738641262751495,-2,1.41421356237,
58,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.72,0.44,,0.6738641262751495,-2,1.41421356237,
59,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.74,0.44,,0.6738641262751495,-2,1.41421356237,
60,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.76,0.44,,0.6738641262751495,-2,1.41421356237,
61,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.78,0.44,,0.6738641262751495,-2,1.41421356237,
62,,0.1,,0.1,1764989772.0,,,-3.293901454414814,0.8,0.44,,0.6738641262751495,-2,1.41421356237,
