beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,32,0.64,0.0,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,33,0.64,0.020000000000000018,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,34,0.64,0.040000000000000036,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,35,0.64,0.05999999999999994,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,36,0.64,0.07999999999999996,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,37,0.64,0.09999999999999998,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,38,0.64,0.12,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,39,0.64,0.14,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,40,0.64,0.16000000000000003,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,41,0.64,0.17999999999999994,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,42,0.64,0.19999999999999996,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,43,0.64,0.21999999999999997,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,44,0.64,0.24,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,45,0.64,0.26,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,46,0.64,0.28,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,47,0.64,0.29999999999999993,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,48,0.64,0.31999999999999995,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,49,0.64,0.33999999999999997,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,50,0.64,0.36,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,51,0.64,0.38,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
