beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,28,0.56,0.0,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,29,0.56,0.019999999999999907,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,30,0.56,0.039999999999999925,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,31,0.56,0.05999999999999994,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,32,0.56,0.07999999999999996,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,33,0.56,0.09999999999999998,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,34,0.56,0.12,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,35,0.56,0.1399999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,36,0.56,0.15999999999999992,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,37,0.56,0.17999999999999994,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,38,0.56,0.19999999999999996,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,39,0.56,0.21999999999999997,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,40,0.56,0.24,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,41,0.56,0.2599999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,42,0.56,0.2799999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,43,0.56,0.29999999999999993,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,44,0.56,0.31999999999999995,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,45,0.56,0.33999999999999997,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,46,0.56,0.36,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,47,0.56,0.3799999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,48,0.56,0.3999999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,49,0.56,0.41999999999999993,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,50,0.56,0.43999999999999995,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,51,0.56,0.45999999999999996,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,52,0.56,0.48,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,53,0.56,0.5,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,54,0.56,0.52,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,55,0.56,0.54,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,56,0.56,0.56,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,57,0.56,0.5799999999999998,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,58,0.56,0.5999999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,59,0.56,0.6199999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,60,0.56,0.6399999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,61,0.56,0.6599999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,62,0.56,0.6799999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,63,0.56,0.7,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,64,0.56,0.72,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,65,0.56,0.74,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,66,0.56,0.76,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,67,0.56,0.78,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,68,0.56,0.8,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,69,0.56,0.8199999999999998,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,70,0.56,0.8399999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,71,0.56,0.8599999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,72,0.56,0.8799999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,73,0.56,0.8999999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,74,0.56,0.9199999999999999,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,75,0.56,0.94,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,76,0.56,0.96,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,77,0.56,0.98,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.0,78,0.56,1.0,,,,,,,,,1764206418.0,1.0,-2,1.41421356237
0.1,28,0.56,0.0,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,29,0.56,0.019999999999999907,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,30,0.56,0.039999999999999925,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,31,0.56,0.05999999999999994,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,32,0.56,0.07999999999999996,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,33,0.56,0.09999999999999998,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,34,0.56,0.12,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,35,0.56,0.1399999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,36,0.56,0.15999999999999992,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,37,0.56,0.17999999999999994,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,38,0.56,0.19999999999999996,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,39,0.56,0.21999999999999997,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,40,0.56,0.24,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,41,0.56,0.2599999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,42,0.56,0.2799999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,43,0.56,0.29999999999999993,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,44,0.56,0.31999999999999995,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,45,0.56,0.33999999999999997,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,46,0.56,0.36,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,47,0.56,0.3799999999999999,3.0507641926536357,-4.82665982476222,-7.877424017415855,-4.82665982476222,0.6737416712150148,0.6352012799763126,32.72357377978319,0.02944390449073804,1764206418.0,1.0,-2,1.41421356237
0.1,48,0.56,0.3999999999999999,3.0507641926536357,-3.9221444456430214,-6.972908638296657,-3.9221444456430214,0.6737416712150148,0.6509107956419409,33.116311671423894,0.017235370139947335,1764206418.0,1.0,-2,1.41421356237
0.1,49,0.56,0.41999999999999993,3.0507641926536357,-3.0319429348552376,-6.082707127508874,-3.0319429348552376,0.6737416712150148,0.6638464784900384,33.43970374262633,0.007397787373608508,1764206418.0,1.0,-2,1.41421356237
0.1,50,0.56,0.43999999999999995,3.0507641926536357,-2.153293514712373,-5.204057707366008,-2.153293514712373,0.6737416712150148,0.6737265472725297,33.68670546218861,1.1223969721621344e-05,1764206418.0,1.0,-2,1.41421356237
0.1,51,0.56,0.45999999999999996,3.0507641926536357,-1.2820072568394363,-4.332771449493072,-1.2820072568394363,0.6737416712150148,0.6807954065214846,33.86342694341249,-0.0052074877996377555,1764206418.0,1.0,-2,1.41421356237
0.1,52,0.56,0.48,3.0507641926536357,-0.41506883230713787,-3.465833024960774,-0.41506883230713787,0.6737416712150148,0.6855115747454701,33.98133114901212,-0.008659095400679606,1764206418.0,1.0,-2,1.41421356237
0.1,53,0.56,0.5,3.0507641926536357,0.44863320235828225,-2.6021309902953536,0.44863320235828225,0.6737416712150148,0.6869414290663444,34.017077507033974,-0.009700831772365016,1764206418.0,1.0,-2,1.41421356237
0.1,54,0.56,0.52,3.0507641926536357,1.312838108585002,-1.7379260840686337,1.312838108585002,0.6737416712150148,0.6850466253871412,33.969707415053904,-0.008319878968928458,1764206418.0,1.0,-2,1.41421356237
0.1,55,0.56,0.54,3.0507641926536357,2.179391568868588,-0.8713726237850477,2.179391568868588,0.6737416712150148,0.6808056791774741,33.863683759812226,-0.00521503213631659,1764206418.0,1.0,-2,1.41421356237
0.1,56,0.56,0.56,3.0507641926536357,3.0507641926536357,0.0,3.0507641926536357,0.6737416712150148,0.6737416712150148,33.68708356075074,0.0,1764206418.0,1.0,-2,1.41421356237
0.1,57,0.56,0.5799999999999998,3.0507641926536357,3.9305418485064547,0.879777655852819,3.9305418485064547,0.6737416712150148,0.6636184454018109,33.43400291542065,0.007569558630784535,1764206418.0,1.0,-2,1.41421356237
0.1,58,0.56,0.5999999999999999,3.0507641926536357,4.821836653724371,1.7710724610707351,4.821836653724371,0.6737416712150148,0.6506014198928052,33.1085772776955,0.017473003391328682,1764206418.0,1.0,-2,1.41421356237
0.1,59,0.56,0.6199999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,60,0.56,0.6399999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,61,0.56,0.6599999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,62,0.56,0.6799999999999999,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,63,0.56,0.7,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,64,0.56,0.72,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,65,0.56,0.74,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
0.1,66,0.56,0.76,3.0507641926536357,,,,0.6737416712150148,,,,1764206418.0,1.0,-2,1.41421356237
