Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,varsigma
2.0,31.0,0.62,,,,,,
2.0,32.0,0.62,-8.610916366996433,0.3759283936408881,1.0044070434886623,0.040038549202754806,0.039961450797245085,0.0009637300688715099
2.0,33.0,0.62,,,,,,
2.0,34.0,0.62,,,,,,
2.0,35.0,0.62,,,,,,
2.0,36.0,0.62,,,,,,
2.0,37.0,0.62,,,,,,
2.0,38.0,0.62,,,,,,
2.0,39.0,0.62,,,,,,
2.0,40.0,0.62,,,,,,
2.0,41.0,0.62,,,,,,
2.0,42.0,0.62,,,,,,
2.0,43.0,0.62,,,,,,
2.0,44.0,0.62,,,,,,
2.0,45.0,0.62,,,,,,
2.0,46.0,0.62,,,,,,
2.0,47.0,0.62,,,,,,
2.0,48.0,0.62,,,,,,
2.0,49.0,0.62,,,,,,
2.0,50.0,0.62,,,,,,
2.0,51.0,0.62,,,,,,
2.0,52.0,0.62,,,,,,
2.0,53.0,0.62,,,,,,
2.0,54.0,0.62,,,,,,
2.0,55.0,0.62,,,,,,
2.0,56.0,0.62,,,,,,
2.0,57.0,0.62,,,,,,
2.0,58.0,0.62,-17.503694862419064,-0.19791797895200847,0.3977672196936285,0.016147587613101436,0.06385241238689848,-0.5963103096724637
2.0,59.0,0.62,-13.598551169795929,-0.2777955754325672,0.3218499514761865,0.022236260516053048,0.05776373948394683,-0.4440934870986729
2.0,60.0,0.62,-11.143834425345352,-0.3750202334231241,0.23211782107239856,0.028488011619575253,0.051511988380424645,-0.28779970951061773
2.0,61.0,0.62,-9.592498893239524,-0.4909530281150625,0.12656299082812927,0.03461852485403902,0.045381475145960984,-0.13453687864902458
2.0,62.0,0.62,-8.617083669033013,-0.6283967212738926,0.0,0.03999999999999992,0.03999999999999992,0.0
2.0,63.0,0.62,-8.018218154177902,-0.7896281043358582,-0.15204497032372938,0.044143502818791515,0.035856497181208404,0.103587570469789
2.0,64.0,0.62,-7.659910744628376,-0.9741839230640127,-0.32993577827365517,0.047006746593910714,0.03299325340608916,0.17516866484776966
2.0,65.0,0.62,-7.442388332759708,-1.178424029780451,-0.5296563207951228,0.04890254204125884,0.03109745795874108,0.22256355103147216
2.0,66.0,0.62,-7.306475946750821,-1.3976819847821829,-0.7458781038935817,0.050153528953089346,0.029846471046910652,0.2538382238272337
2.0,67.0,0.62,-7.223811197256851,-1.6275922157121383,-0.9738440326941219,0.0509452202200992,0.02905477977990077,0.2736305055024805
2.0,68.0,0.62,-7.18111245951841,-1.8641471181908678,-1.2093758951557518,0.05136062791412784,0.028639372085872083,0.28401569785319725
2.0,69.0,0.62,-7.173668212136377,-2.103471270165321,-1.448518215080888,0.05143425974018234,0.028565740259817576,0.2858564935045599
2.0,70.0,0.62,-7.200095227116433,-2.341726275836319,-1.6874186433460774,0.05117289509779131,0.02882710490220857,0.2793223774447847
2.0,71.0,0.62,-7.263728569624221,-2.5751025017944285,-1.9222959523158085,0.05056201081235743,0.029437989187642497,0.26405027030893685
2.0,72.0,0.62,-7.369524062138136,-2.799850833644799,-2.1494785076621983,0.04956671971051566,0.03043328028948425,0.23916799276289294
2.0,73.0,0.62,-7.5300135313756575,-3.0123052324282864,-2.365401614805806,0.0481237510085013,0.031876248991498636,0.20309377521253352
2.0,74.0,0.62,-7.763604757099449,-3.209017325666771,-2.566802768591442,0.0461448842342537,0.03385511576574617,0.15362210585634428
2.0,75.0,0.62,-8.098583045596401,-3.3870105132864645,-2.7507918306610892,0.043542835534758455,0.03645716446524148,0.08857088836896229
2.0,76.0,0.62,-8.569467703280765,-3.5443184310737896,-2.9152734269733958,0.040303108818540524,0.03969689118145936,0.007577720463514571
2.0,77.0,0.62,-9.199293845281643,-3.680528970368374,-3.0591502242375888,0.03661013147266737,0.04338986852733254,-0.08474671318331471
2.0,78.0,0.62,-9.93098447295625,-3.7972986417260484,-3.182638942089985,0.033067164424542876,0.04693283557545702,-0.17332088938642704
2.0,79.0,0.62,-10.252612133861552,-3.9018470173416473,-3.2895662422786907,0.03171340832628443,0.04828659167371547,-0.20716479184288825
2.0,80.0,0.62,-8.086816796214913,-4.049039074084312,-3.4126206216962682,0.04363077942337058,0.03636922057662938,0.09076948558426512
2.1,31.0,0.62,,,,,,
2.1,32.0,0.62,-8.032321513534763,0.4035202899942306,1.0408639743176622,0.04403809078611032,0.03996190921388957,0.04852597109786612
2.1,33.0,0.62,,,,,,
2.1,34.0,0.62,,,,,,
2.1,35.0,0.62,,,,,,
2.1,36.0,0.62,,,,,,
2.1,37.0,0.62,,,,,,
2.1,38.0,0.62,,,,,,
2.1,39.0,0.62,,,,,,
2.1,40.0,0.62,,,,,,
2.1,41.0,0.62,,,,,,
2.1,42.0,0.62,,,,,,
2.1,43.0,0.62,,,,,,
2.1,44.0,0.62,,,,,,
2.1,45.0,0.62,,,,,,
2.1,46.0,0.62,,,,,,
2.1,47.0,0.62,,,,,,
2.1,48.0,0.62,,,,,,
2.1,49.0,0.62,,,,,,
2.1,50.0,0.62,,,,,,
2.1,51.0,0.62,,,,,,
2.1,52.0,0.62,,,,,,
2.1,53.0,0.62,,,,,,
2.1,54.0,0.62,,,,,,
2.1,55.0,0.62,,,,,,
2.1,56.0,0.62,,,,,,
2.1,57.0,0.62,,,,,,
2.1,58.0,0.62,-16.735475576746474,-0.20301416667776465,0.393121819535716,0.017136726340561837,0.06686327365943806,-0.5919827061770987
2.1,59.0,0.62,-13.0469135837752,-0.28352598403202833,0.3172433703895515,0.02340062847929253,0.060599371520707386,-0.44284217906446305
2.1,60.0,0.62,-10.726605744232542,-0.38078068205045257,0.22852176814073066,0.029908817251478276,0.054091182748521656,-0.28788530353623093
2.1,61.0,0.62,-9.253894600264596,-0.49627759547395284,0.12452657775723294,0.036321302820290606,0.04767869717970926,-0.13520707570736515
2.1,62.0,0.62,-8.314716470718862,-0.6327591398131761,0.0,0.04199999999999996,0.04199999999999996,0.0
2.1,63.0,0.62,-7.729136878056325,-0.7927376572372414,-0.14985663661318258,0.046428087721012416,0.037571912278987464,0.10543066002410673
2.1,64.0,0.62,-7.374496835930265,-0.9761047589647918,-0.32584534355334477,0.04952043649325336,0.03447956350674657,0.17905801174412858
2.1,65.0,0.62,-7.160406029294793,-1.1795341161920796,-0.5242571210555836,0.05156543737171181,0.032434562628288116,0.22774850885028228
2.1,66.0,0.62,-7.0278652436771605,-1.398323384866507,-0.7397472187228937,0.05289802258440201,0.031101977415597955,0.25947672820004836
2.1,67.0,0.62,-6.947810736491663,-1.6279442544986802,-0.9672770859818808,0.05373319225512335,0.030266807744876577,0.2793617203600809
2.1,68.0,0.62,-6.906521618200648,-1.8642853646666266,-1.2025212647083983,0.0541692725981282,0.029830727401871756,0.2897445856697197
2.1,69.0,0.62,-6.8992203713812295,-2.1034210127343576,-1.4414620966394314,0.05424665631297265,0.02975334368702734,0.29158705507077753
2.1,70.0,0.62,-6.925020562148665,-2.341486845271129,-1.6802142082961202,0.05397389361800029,0.030026106381999658,0.2850927051904839
2.1,71.0,0.62,-6.985502267241582,-2.5746550041970635,-1.9149891897141227,0.053335108296489166,0.030664891703510742,0.269883530868791
2.1,72.0,0.62,-7.087135779093947,-2.7991579353244425,-2.142080239999845,0.052294014975625365,0.03170598502437456,0.24509559465774794
2.1,73.0,0.62,-7.240874706791091,-3.011319011957131,-2.357973349744577,0.050781409403033564,0.033218590596966406,0.20908117626270437
2.1,74.0,0.62,-7.4640940954079635,-3.2076982767250066,-2.559397901560497,0.04870768522342239,0.035292314776577564,0.15970679103386706
2.1,75.0,0.62,-7.7823300612586195,-3.3854012184067273,-2.7435487298139223,0.04599102877300354,0.03800897122699636,0.09502449459532365
2.1,76.0,0.62,-8.224453204204256,-3.5426040628537074,-2.9084309082601902,0.0426337080109569,0.04136629198904305,0.015088285975164926
2.1,77.0,0.62,-8.804664905452226,-3.679063991275353,-3.0531046760825107,0.038846483332578556,0.045153516667421394,-0.07508373017670049
2.1,78.0,0.62,-9.453071171779618,-3.7967256088016534,-3.177912176175499,0.035300679482998275,0.048699320517001654,-0.1595076313571832
2.1,79.0,0.62,-9.661260441355251,-3.90369576476586,-3.286789150341856,0.034292952160470055,0.04970704783952991,-0.1835011390364269
2.1,80.0,0.62,-7.615290352409065,-4.0586657928824055,-3.4135230647190427,0.04738434883053364,0.036615651169466204,0.12819878167937448
2.2,31.0,0.62,,,,,,
2.2,32.0,0.62,-7.5398819452974095,0.4304166496815728,1.0771151991118801,0.04803773724052884,0.03996226275947106,0.09176675546656575
2.2,33.0,0.62,,,,,,
2.2,34.0,0.62,,,,,,
2.2,35.0,0.62,,,,,,
2.2,36.0,0.62,,,,,,
2.2,37.0,0.62,,,,,,
2.2,38.0,0.62,,,,,,
2.2,39.0,0.62,,,,,,
2.2,40.0,0.62,,,,,,
2.2,41.0,0.62,,,,,,
2.2,42.0,0.62,,,,,,
2.2,43.0,0.62,,,,,,
2.2,44.0,0.62,,,,,,
2.2,45.0,0.62,,,,,,
2.2,46.0,0.62,,,,,,
2.2,47.0,0.62,,,,,,
2.2,48.0,0.62,,,,,,
2.2,49.0,0.62,,,,,,
2.2,50.0,0.62,,,,,,
2.2,51.0,0.62,,,,,,
2.2,52.0,0.62,,,,,,
2.2,53.0,0.62,,,,,,
2.2,54.0,0.62,,,,,,
2.2,55.0,0.62,,,,,,
2.2,56.0,0.62,,,,,,
2.2,57.0,0.62,,,,,,
2.2,58.0,0.62,-16.016023547818282,-0.2081621948776902,0.3884977738483984,0.018137598155617274,0.0698624018443827,-0.5877818600996073
2.2,59.0,0.62,-12.534346627597436,-0.28923562320152346,0.3128129128236144,0.024589181401095287,0.06341081859890467,-0.44115496815692506
2.2,60.0,0.62,-10.343443612333296,-0.386602091859668,0.22506072105606373,0.03135058008214888,0.056649419917851,-0.2874868163147972
2.2,61.0,0.62,-8.941728730790416,-0.5016301458506298,0.12266259111260182,0.03804343782091723,0.04995656217908267,-0.13537641316097104
2.2,62.0,0.62,-8.037417782253193,-0.6372571588420005,0.0,0.04399999999999998,0.04399999999999998,0.0
2.2,63.0,0.62,-7.464607373410027,-0.796033194093939,-0.14774387001174968,0.04870307742779832,0.03929692257220158,0.10688812335905397
2.2,64.0,0.62,-7.113621832686255,-0.9781913546168983,-0.32177161584112857,0.05202818473218964,0.035971815267810306,0.18245874391340167
2.2,65.0,0.62,-6.901148252037473,-1.1807537538583077,-0.5188468992340887,0.05422602409722809,0.033773975902771834,0.23240963857336674
2.2,66.0,0.62,-6.771626124834491,-1.3990198655762285,-0.7335061999343355,0.055648013013079735,0.03235198698692019,0.26472756847908596
2.2,67.0,0.62,-6.693431383159655,-1.6283212016271091,-0.9605642328699372,0.05652945543514857,0.03147054456485137,0.284760350798832
2.2,68.0,0.62,-6.653994638771093,-1.8644330150836212,-1.195505567801634,0.056987021762740016,0.03101297823725991,0.29515958551681964
2.2,69.0,0.62,-6.646976801346441,-2.103369076843659,-1.4342333408673698,0.05706844648853364,0.03093155351146632,0.2970101474666742
