obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	S(a.u.)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"45.8875"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.8945"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9029"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9128"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9251"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9401"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9581"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"45.9800"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.0079"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.0365"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.0568"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.1030"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.1765"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.2763"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.4441"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.6246"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.6695"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.7160"	"46.7161"	"0.0007"	"a,w"	""	""	""		"0.0000"	"214059"	"3p6.4s"	"2S"	"1/2"	"3p5.3d.(1P*).5s"	"2P*"	"1/2,3/2"		""	"L6851"	
"46.7416"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.8420"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.8666"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.8729"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.9028"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.9875"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"46.9988"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.0244"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.0590"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.1105"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.1669"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.2145"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.2271"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.2955"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.3533"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.4460"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.5540"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.5988"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"47.6603"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.3941"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8166"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8209"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8255"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8312"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8335"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8378"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8451"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8574"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8677"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.8819"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.9208"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"48.9433"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.2303"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.3166"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.6632"	"49.6633"	"0.0007"	"a*"	""	""	""		"0.0000"	"201356"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).32d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6632"	"49.6633"	"0.0007"	"a*"	""	""	""		"0.0000"	"201356"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).33s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6659"	"49.6657"	"0.0007"	"a*"	""	""	""		"0.0000"	"201346"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).32s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.6659"	"49.6657"	"0.0007"	"a*"	""	""	""		"0.0000"	"201346"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).31d"	"2P*"	"1/2,3/2"		""	"L6851"	
