beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,30,0.6,0.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,31,0.6,0.020000000000000018,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,32,0.6,0.040000000000000036,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,33,0.6,0.06000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,34,0.6,0.08000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,35,0.6,0.09999999999999998,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,36,0.6,0.12,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,37,0.6,0.14,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,38,0.6,0.16000000000000003,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,39,0.6,0.18000000000000005,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,40,0.6,0.20000000000000007,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,41,0.6,0.21999999999999997,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,42,0.6,0.24,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,43,0.6,0.26,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,44,0.6,0.28,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,45,0.6,0.30000000000000004,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,46,0.6,0.32000000000000006,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,47,0.6,0.33999999999999997,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,48,0.6,0.36,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,49,0.6,0.38,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,50,0.6,0.4,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,51,0.6,0.42000000000000004,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,52,0.6,0.44000000000000006,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,53,0.6,0.4600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,54,0.6,0.4800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,55,0.6,0.5000000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,56,0.6,0.5200000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,57,0.6,0.5399999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,58,0.6,0.5599999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,59,0.6,0.58,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,60,0.6,0.6,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,61,0.6,0.62,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,62,0.6,0.64,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,63,0.6,0.66,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,64,0.6,0.68,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,65,0.6,0.7000000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,66,0.6,0.7200000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,67,0.6,0.7400000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,68,0.6,0.7600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,69,0.6,0.7799999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,70,0.6,0.7999999999999999,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,71,0.6,0.82,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,72,0.6,0.84,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,73,0.6,0.86,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,74,0.6,0.88,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,75,0.6,0.9,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,76,0.6,0.92,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,77,0.6,0.9400000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,78,0.6,0.9600000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,79,0.6,0.9800000000000001,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,80,0.6,1.0,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,30,0.6,0.0,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,31,0.6,0.020000000000000018,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,32,0.6,0.040000000000000036,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,33,0.6,0.06000000000000005,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,34,0.6,0.08000000000000007,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,35,0.6,0.09999999999999998,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,36,0.6,0.12,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,37,0.6,0.14,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,38,0.6,0.16000000000000003,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,39,0.6,0.18000000000000005,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
0.1,40,0.6,0.20000000000000007,3.603702798161584,,,,0.6503557887783626,,,,1764991820.0,0.3,-2,1.41421356237
