beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,sigma2_s,sigma2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,63,0.52,0.7399999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,64,0.52,0.7599999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,65,0.52,0.7799999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,66,0.52,0.7999999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,67,0.52,0.8199999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,68,0.52,0.8399999999999999,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,69,0.52,0.8599999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,70,0.52,0.8799999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,71,0.52,0.8999999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,72,0.52,0.9199999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,73,0.52,0.9399999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,74,0.52,0.9599999999999997,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,75,0.52,0.9799999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.0,76,0.52,0.9999999999999998,,,,,,,,,,,1764991820.0,0.3,-2,1.41421356237
0.1,26,0.52,-2.220446049250313e-16,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,27,0.52,0.019999999999999796,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,28,0.52,0.039999999999999813,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,29,0.52,0.05999999999999972,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,30,0.52,0.07999999999999974,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,31,0.52,0.09999999999999976,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,32,0.52,0.11999999999999977,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,33,0.52,0.1399999999999998,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,34,0.52,0.1599999999999998,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,35,0.52,0.17999999999999972,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,36,0.52,0.19999999999999973,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,37,0.52,0.21999999999999975,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,38,0.52,0.23999999999999977,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,39,0.52,0.2599999999999998,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,40,0.52,0.2799999999999998,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,41,0.52,0.2999999999999997,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,42,0.52,0.31999999999999973,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,43,0.52,0.33999999999999975,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,44,0.52,0.35999999999999976,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,45,0.52,0.3799999999999998,0.2616023394898409,,,,0.6867618950205057,,66.03479759812551,,,,1764991820.0,0.3,-2,1.41421356237
0.1,46,0.52,0.3999999999999998,0.2616023394898409,-4.724363641059454,-4.985965980549294,-4.724363641059454,0.6867618950205057,0.6499982596234926,66.03479759812551,81.24978245293661,66.83800773219991,-0.10330331151798934,1764991820.0,0.3,-2,1.41421356237
