Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
24.6,32,0.58,2.450363488366447,-3.9367520245438454,-3.4464780578398475,0.4018197263598588,0.09018027364014121,34.63963158274643,75.15022803345137,-0.368983042626354
24.6,33,0.58,2.490565721750785,-3.7397102176753547,-3.251967254287238,0.40001920203250707,0.09198079796749292,34.484413968319565,57.48799872968327,-0.2501139644655992
24.6,34,0.58,2.528022674618876,-3.545196713673678,-3.0597477557664736,0.39841733279938174,0.09358266720061822,34.34632179305014,46.79133360030926,-0.1533814570673146
24.6,35,0.58,2.562222271818366,-3.352745195026925,-2.8693710266015717,0.3969780366175689,0.09502196338243103,34.222244535997305,39.59248474267974,-0.07275296216840207
24.6,36,0.58,2.593133679940433,-3.1620194088795985,-2.6805205451271856,0.3956771244628137,0.0963228755371862,34.11009693644944,34.401026977566595,-0.004246464289248634
24.6,37,0.58,2.616536184687863,-2.971133129571412,-2.4910176508059556,0.39473347163143974,0.09726652836856017,34.02874755443444,30.395790115175128,0.056390896553892615
24.6,38,0.58,2.6033885161427053,-2.7707305243761455,-2.28984633742947,0.3952539997302935,0.09674600026970648,34.073620666404594,26.873888963807424,0.11813003921374701
24.6,39,0.58,2.5917066058803693,-2.570813018093851,-2.0892275779343428,0.39573718313057615,0.09626281686942381,34.11527440780827,24.065704217355986,0.17272948011406733
24.6,40,0.58,2.5810336605602493,-2.3713084741309514,-1.8890755376117228,0.3961863559485582,0.09581364405144177,34.1539962024619,21.775828193509525,0.22131605351230033
24.6,41,0.58,2.5710598182324915,-2.1721601000925452,-1.6893220797463182,0.3966061068917231,0.0953938931082769,34.190181628596804,19.87372773089105,0.26480611682205907
24.6,42,0.58,2.5852389952293207,-1.9806561269921983,-1.4986783158210306,0.3960093736847867,0.09599062631521324,34.138739110757456,18.45973582984873,0.29808855292122716
24.6,43,0.58,2.7569606570963754,-1.83150118267151,-1.3594767283944331,0.3893051554212385,0.10269484457876144,33.560789260451585,18.338365103350284,0.2933077493015665
24.6,44,0.58,2.927857890298839,-1.6728476196545237,-1.2101530389377986,0.3832594961437555,0.10874050385624442,33.03961173653063,18.123417309374087,0.2915424419803872
24.6,45,0.58,3.0942224754788747,-1.5050350118354592,-1.0509184362493833,0.3779070474181127,0.11409295258188734,32.57819374294074,17.82702384091992,0.2926516461808514
24.6,46,0.58,3.250669360508046,-1.3294704526354295,-0.8828077433990982,0.3730523413693207,0.11894765863067931,32.159684600803494,17.4923027398058,0.29540372191711967
24.6,47,0.58,3.394089941765011,-1.147604320430612,-0.7072733384657053,0.36861917894642704,0.12338082105357287,31.77751542641611,17.136225146329593,0.29932877977940847
24.6,48,0.58,3.5683608241336655,-0.9725136262422107,-0.5394140948918587,0.3636536793019227,0.12834632069807728,31.349455112234704,16.88767377606282,0.2998060139454187
24.6,49,0.58,3.924357400904497,-0.847859772277998,-0.42829299211081234,0.354655258930448,0.1373447410695519,30.573729218142056,17.168092633694005,0.28079440759616703
24.6,50,0.58,4.38040040532573,-0.7366686340614427,-0.33244826790566256,0.3449941554785267,0.1470058445214732,29.74087547228677,17.500695776365877,0.2590976415982352
24.6,51,0.58,4.92538758278209,-0.6400042274203948,-0.25080602185255013,0.33399998694146427,0.15800001305853564,28.793102322540012,17.95454693846998,0.2318524151568399
24.6,52,0.58,5.6083554929436135,-0.556070729607238,-0.18234492625524987,0.3223453312035286,0.16965466879647143,27.78839062099383,18.440724869181686,0.20220299810405595
24.6,53,0.58,6.493267367688408,-0.4846954961615905,-0.1277382713565695,0.3105177170993127,0.18148228290068721,26.768768715457977,18.904404468821603,0.17218782270515068
24.6,54,0.58,7.529544560944514,-0.427065756366809,-0.08513145820642766,0.29740277664561143,0.19459722335438856,25.638170400483734,19.459722335438865,0.13700081512064627
24.6,55,0.58,8.770851853228658,-0.38076744070278135,-0.052045994540418236,0.2839312382574607,0.20806876174253927,24.476830884263848,20.006611706013405,0.1004917541887259
24.6,56,0.58,10.330442599130407,-0.3426600444144587,-0.02715449788616611,0.27120743452990786,0.2207925654700921,23.379951252578255,20.443756062045576,0.06700015517748951
24.6,57,0.58,12.222189130584109,-0.3150021573882073,-0.012973044766479045,0.25900587410387366,0.23299412589612628,22.328092595161515,20.803046955011293,0.035358343323532965
24.6,58,0.58,13.69687470050083,-0.2952558861367334,-2.758208664248933e-16,0.2460000000000003,0.2459999999999996,21.206896551724153,21.20689655172412,7.538685123308381e-16
24.6,59,0.58,14.86185740823137,-0.2840160940134857,0.007342270981199171,0.2364003303220154,0.25559966967798453,20.379338820863392,21.299972473165397,-0.02208850443346697
24.6,60,0.58,16.359593048500777,-0.27373289101402,0.013532790152891692,0.22598362112163017,0.2660163788783698,19.481346648416388,21.452933780513707,-0.04816469500472543
24.6,61,0.58,18.321454160846308,-0.2644275416147807,0.018638498386582134,0.21490265516808743,0.27709734483191256,18.52609096276615,21.648230064993182,-0.07771479448450964
24.6,62,0.58,,,,,,,,
24.6,63,0.58,,,,,,,,
24.6,64,0.58,,,,,,,,
24.6,65,0.58,,,,,,,,
24.6,66,0.58,19.57393828709446,-0.23538729732905972,0.045509170595636424,0.20897316592062984,0.2830268340793701,18.014928096606013,19.123434735092584,-0.029848021128718955
24.6,67,0.58,18.508539931157337,-0.22965480963311236,0.05306503072815525,0.21396759386247263,0.2780324061375273,18.445482229523495,18.29160566694259,0.004188589008866622
24.6,68,0.58,17.504890947349143,-0.2232121392440424,0.06146716164445492,0.2192130595889127,0.27278694041108725,18.897677550768332,17.486342334044064,0.038789974862381685
24.6,69,0.58,16.574344906559595,-0.2160089182341885,0.07073974935192312,0.2246426310465172,0.2673573689534828,19.365744055734236,16.709835559592683,0.0736206742749928
24.6,70,0.58,15.721520076623133,-0.20801729495204682,0.08088176649021446,0.23018250030450355,0.2618174996954964,19.84331899176754,15.964481688749792,0.1083238073632426
24.6,71,0.58,14.74132265867846,-0.19763483470268645,0.09409468975508574,0.2373280250336052,0.2546719749663948,20.45931250289699,15.159046128952077,0.14880714826666783
24.6,72,0.58,12.09495137999873,-0.1705582913931872,0.1323315475550676,0.2597614014715974,0.23223859852840265,22.393224264792867,13.502244100488534,0.24769088047068952
