Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
37,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.3,0.44,,0.6568288566644662,-2.0,1.41421356237,
38,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.32,0.44,,0.6568288566644662,-2.0,1.41421356237,
39,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.34,0.44,,0.6568288566644662,-2.0,1.41421356237,
40,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.36000000000000004,0.44,,0.6568288566644662,-2.0,1.41421356237,
41,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.37999999999999995,0.44,,0.6568288566644662,-2.0,1.41421356237,
42,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.39999999999999997,0.44,,0.6568288566644662,-2.0,1.41421356237,
43,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.42,0.44,,0.6568288566644662,-2.0,1.41421356237,
44,32.84144283322331,1.0,0.0,0.2,1764110114.0,-0.9657709276125042,-0.9657709276125042,-0.9657709276125042,0.44,0.44,0.6568288566644662,0.6568288566644662,-2.0,1.41421356237,0.0
45,33.00319597698269,1.0,0.4722741717573874,0.2,1764110114.0,-0.49349675585511676,-0.49349675585511676,-0.9657709276125042,0.46,0.44,0.6632989824148413,0.6568288566644662,-2.0,1.41421356237,-0.004901135752797644
46,33.10076547284424,1.0,0.9420574813959371,0.2,1764110114.0,-0.023713446216566972,-0.023713446216566972,-0.9657709276125042,0.48000000000000004,0.44,0.6672017622493034,0.6568288566644662,-2.0,1.41421356237,-0.007834339656999069
47,33.13446957175537,1.0,1.4106800781138313,0.2,1764110114.0,0.4449091505013272,0.4449091505013272,-0.9657709276125042,0.49999999999999994,0.44,0.6685499262057484,0.6568288566644662,-2.0,1.41421356237,-0.008843562076570471
48,33.10445126323967,1.0,1.8794123899727104,0.2,1764110114.0,0.9136414623602063,0.9136414623602063,-0.9657709276125042,0.52,0.44,0.6673491938651205,0.6568288566644662,-2.0,1.41421356237,-0.007944805607106083
49,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.54,0.44,,0.6568288566644662,-2.0,1.41421356237,
50,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.56,0.44,,0.6568288566644662,-2.0,1.41421356237,
51,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.5800000000000001,0.44,,0.6568288566644662,-2.0,1.41421356237,
52,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.6000000000000001,0.44,,0.6568288566644662,-2.0,1.41421356237,
30,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.15999999999999998,0.44,,0.6288663931809306,-2.0,1.41421356237,
31,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.18,0.44,,0.6288663931809306,-2.0,1.41421356237,
32,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.2,0.44,,0.6288663931809306,-2.0,1.41421356237,
33,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.22000000000000003,0.44,,0.6288663931809306,-2.0,1.41421356237,
34,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.24000000000000005,0.44,,0.6288663931809306,-2.0,1.41421356237,
35,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.25999999999999995,0.44,,0.6288663931809306,-2.0,1.41421356237,
36,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.27999999999999997,0.44,,0.6288663931809306,-2.0,1.41421356237,
37,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.3,0.44,,0.6288663931809306,-2.0,1.41421356237,
38,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.32,0.44,,0.6288663931809306,-2.0,1.41421356237,
39,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.34,0.44,,0.6288663931809306,-2.0,1.41421356237,
40,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.36000000000000004,0.44,,0.6288663931809306,-2.0,1.41421356237,
41,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.37999999999999995,0.44,,0.6288663931809306,-2.0,1.41421356237,
42,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.39999999999999997,0.44,,0.6288663931809306,-2.0,1.41421356237,
43,31.237723789037773,1.0,-0.3451451310003525,0.30000000000000004,1764110114.0,-0.9237298206774495,-0.9237298206774495,-0.578584689677097,0.42,0.44,0.6206425583805804,0.6288663931809306,-2.0,1.41421356237,0.0065816533687677444
44,31.44331965904653,1.0,0.0,0.30000000000000004,1764110114.0,-0.578584689677097,-0.578584689677097,-0.578584689677097,0.44,0.44,0.6288663931809306,0.6288663931809306,-2.0,1.41421356237,0.0
45,31.59392050990234,1.0,0.34261371347321795,0.30000000000000004,1764110114.0,-0.23597097620387902,-0.23597097620387902,-0.578584689677097,0.46,0.44,0.6348904272151629,0.6288663931809306,-2.0,1.41421356237,-0.004766766783774234
46,31.689906144467738,1.0,0.6836228926193474,0.30000000000000004,1764110114.0,0.10503820294225039,0.10503820294225039,-0.578584689677097,0.48000000000000004,0.44,0.6387298525977788,0.6288663931809306,-2.0,1.41421356237,-0.007781231168595697
47,31.72940743635194,1.0,1.023874751587742,0.30000000000000004,1764110114.0,0.44529006191064513,0.44529006191064513,-0.578584689677097,0.49999999999999994,0.44,0.6403099042731472,0.6288663931809306,-2.0,1.41421356237,-0.009016486610388017
48,31.713779150589318,1.0,1.3642385819409348,0.30000000000000004,1764110114.0,0.7856538922638379,0.7856538922638379,-0.578584689677097,0.52,0.44,0.6396847728426419,0.6288663931809306,-2.0,1.41421356237,-0.008528138203225028
49,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.54,0.44,,0.6288663931809306,-2.0,1.41421356237,
50,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.56,0.44,,0.6288663931809306,-2.0,1.41421356237,
51,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.5800000000000001,0.44,,0.6288663931809306,-2.0,1.41421356237,
52,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.6000000000000001,0.44,,0.6288663931809306,-2.0,1.41421356237,
30,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.15999999999999998,0.44,,0.593478199421627,-2.0,1.41421356237,
31,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.18,0.44,,0.593478199421627,-2.0,1.41421356237,
32,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.2,0.44,,0.593478199421627,-2.0,1.41421356237,
33,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.22000000000000003,0.44,,0.593478199421627,-2.0,1.41421356237,
34,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.24000000000000005,0.44,,0.593478199421627,-2.0,1.41421356237,
35,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.25999999999999995,0.44,,0.593478199421627,-2.0,1.41421356237,
36,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.27999999999999997,0.44,,0.593478199421627,-2.0,1.41421356237,
37,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.3,0.44,,0.593478199421627,-2.0,1.41421356237,
38,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.32,0.44,,0.593478199421627,-2.0,1.41421356237,
39,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.34,0.44,,0.593478199421627,-2.0,1.41421356237,
40,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.36000000000000004,0.44,,0.593478199421627,-2.0,1.41421356237,
41,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.37999999999999995,0.44,,0.593478199421627,-2.0,1.41421356237,
42,29.22950302675088,1.0,-0.566973457932443,0.4,1764110114.0,-0.9544645293968101,-0.9544645293968101,-0.3874910714643671,0.39999999999999997,0.44,0.5757019216484082,0.593478199421627,-2.0,1.41421356237,0.015204054065638758
43,29.474502748668783,1.0,-0.2821504423536989,0.4,1764110114.0,-0.669641513818066,-0.669641513818066,-0.3874910714643671,0.42,0.44,0.5855019105251245,0.593478199421627,-2.0,1.41421356237,0.0067654143010630104
44,29.673909971081354,1.0,0.0,0.4,1764110114.0,-0.3874910714643671,-0.3874910714643671,-0.3874910714643671,0.44,0.44,0.593478199421627,0.593478199421627,-2.0,1.41421356237,0.0
45,29.826373936205876,1.0,0.28018583375186285,0.4,1764110114.0,-0.10730523771250428,-0.10730523771250428,-0.3874910714643671,0.46,0.44,0.599576758026608,0.593478199421627,-2.0,1.41421356237,-0.005111716410805488
46,29.930477213489187,1.0,0.5591017410296535,0.4,1764110114.0,0.17161066956528637,0.17161066956528637,-0.3874910714643671,0.48000000000000004,0.44,0.6037408891179404,0.593478199421627,-2.0,1.41421356237,-0.008572106638253129
47,29.986057744636614,1.0,0.8374359165690137,0.4,1764110114.0,0.4499448451046466,0.4499448451046466,-0.3874910714643671,0.49999999999999994,0.44,0.6059641103638375,0.593478199421627,-2.0,1.41421356237,-0.010409763637939096
48,29.992278710528765,1.0,1.1158315867896866,0.4,1764110114.0,0.7283405153253194,0.7283405153253194,-0.3874910714643671,0.52,0.44,0.6062129489995235,0.593478199421627,-2.0,1.41421356237,-0.01061502337051996
49,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.54,0.44,,0.593478199421627,-2.0,1.41421356237,
50,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.56,0.44,,0.593478199421627,-2.0,1.41421356237,
51,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.5800000000000001,0.44,,0.593478199421627,-2.0,1.41421356237,
52,,1.0,,0.4,1764110114.0,,,-0.3874910714643671,0.6000000000000001,0.44,,0.593478199421627,-2.0,1.41421356237,
30,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.15999999999999998,0.44,,0.554443538341,-2.0,1.41421356237,
31,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.18,0.44,,0.554443538341,-2.0,1.41421356237,
32,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.2,0.44,,0.554443538341,-2.0,1.41421356237,
33,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.22000000000000003,0.44,,0.554443538341,-2.0,1.41421356237,
34,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.24000000000000005,0.44,,0.554443538341,-2.0,1.41421356237,
35,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.25999999999999995,0.44,,0.554443538341,-2.0,1.41421356237,
36,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.27999999999999997,0.44,,0.554443538341,-2.0,1.41421356237,
37,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.3,0.44,,0.554443538341,-2.0,1.41421356237,
38,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.32,0.44,,0.554443538341,-2.0,1.41421356237,
39,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.34,0.44,,0.554443538341,-2.0,1.41421356237,
40,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.36000000000000004,0.44,,0.554443538341,-2.0,1.41421356237,
41,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.37999999999999995,0.44,,0.554443538341,-2.0,1.41421356237,
42,27.273411323458273,1.0,-0.49461031480216067,0.5,1764110114.0,-0.7663076958580151,-0.7663076958580151,-0.2716973810558544,0.39999999999999997,0.44,0.5364929145973308,0.554443538341,-2.0,1.41421356237,0.01645432572660023
43,27.517109081284797,1.0,-0.2461318523918261,0.5,1764110114.0,-0.5178292334476805,-0.5178292334476805,-0.2716973810558544,0.42,0.44,0.5462408249103917,0.554443538341,-2.0,1.41421356237,0.007452375725932642
44,27.72217691705,1.0,0.0,0.5,1764110114.0,-0.2716973810558544,-0.2716973810558544,-0.2716973810558544,0.44,0.44,0.554443538341,0.554443538341,-2.0,1.41421356237,0.0
45,27.887260352757938,1.0,0.24441888669442463,0.5,1764110114.0,-0.027278494361429775,-0.027278494361429775,-0.2716973810558544,0.46,0.44,0.5610468757693176,0.554443538341,-2.0,1.41421356237,-0.005919672051672594
46,28.010432569129446,1.0,0.487695932854808,0.5,1764110114.0,0.2159985517989536,0.2159985517989536,-0.2716973810558544,0.48000000000000004,0.44,0.5659737644241778,0.554443538341,-2.0,1.41421356237,-0.010291010371511847
47,28.08906753829491,1.0,0.7303770966805685,0.5,1764110114.0,0.45867971562471416,0.45867971562471416,-0.2716973810558544,0.49999999999999994,0.44,0.5691191631907963,0.554443538341,-2.0,1.41421356237,-0.01306168746060045
48,28.123585380151262,1.0,0.9730190777297023,0.5,1764110114.0,0.7013216966738479,0.7013216966738479,-0.2716973810558544,0.52,0.44,0.5704998768650504,0.554443538341,-2.0,1.41421356237,-0.014273018808781112
49,28.109615251881415,1.0,1.2161974000684102,0.5,1764110114.0,0.9445000190125559,0.9445000190125559,-0.2716973810558544,0.54,0.44,0.5699410717342565,0.554443538341,-2.0,1.41421356237,-0.013783124790563582
50,,1.0,,0.5,1764110114.0,,,-0.2716973810558544,0.56,0.44,,0.554443538341,-2.0,1.41421356237,
